,country_code,sea_law_adoption
18919,31,80.0
18920,32,100.0
18921,40,95.0
18922,50,90.0
18923,84,67.0
18924,100,100.0
18925,108,11.0
18926,112,48.0
18927,156,95.0
18928,170,50.0
18929,191,93.0
18930,203,90.0
18931,208,90.0
18932,218,57.0
18933,233,63.0
18934,276,100.0
18935,300,100.0
18936,328,65.0
18937,352,100.0
18938,368,13.0
18939,372,100.0
18940,392,100.0
18941,398,
18942,410,93.0
18943,438,0.0
18944,440,93.0
18945,450,50.0
18946,458,60.0
18947,480,73.0
18948,499,40.0
18949,516,80.0
18950,554,100.0
18951,586,27.0
18952,591,87.0
18953,604,0.0
18954,608,70.0
18955,620,85.0
18956,634,80.0
18957,642,90.0
18958,703,
18959,705,93.0
18960,728,17.0
18961,740,37.0
18962,756,100.0
18963,826,100.0
18964,31,67.0
18965,32,67.0
18966,40,100.0
18967,50,100.0
18968,84,100.0
18969,100,100.0
18970,108,0.0
18971,112,67.0
18972,156,100.0
18973,170,0.0
18974,191,100.0
18975,203,100.0
18976,208,100.0
18977,218,100.0
18978,233,100.0
18979,276,100.0
18980,300,100.0
18981,328,67.0
18982,352,100.0
18983,368,33.0
18984,372,100.0
18985,392,100.0
18986,398,0.0
18987,410,100.0
18988,438,0.0
18989,440,100.0
18990,450,67.0
18991,458,67.0
18992,480,100.0
18993,499,67.0
18994,516,100.0
18995,554,100.0
18996,586,67.0
18997,591,100.0
18998,604,0.0
18999,608,100.0
19000,620,100.0
19001,634,67.0
19002,642,100.0
19003,703,100.0
19004,705,100.0
19005,728,0.0
19006,740,67.0
19007,756,67.0
19008,826,100.0
